category,sub,full_name,species,description,reference,pmid
Neuropathic Pain Models,CCI,Chronic Constriction Injury,Mouse;Rat,"CCI (Chronic Constriction Injury) is a well-established neuropathic pain model in which the site of injury is the common sciatic nerve (mid-thigh level). The procedure involves loosely ligating the sciatic nerve with four chromic gut sutures (typically 4-0), creating a chronic constriction that leads to partial nerve compression and subsequent inflammation, Wallerian degeneration, and pain-related behaviours. This model is widely applied to study the mechanisms of peripheral neuropathic pain, such as thermal hyperalgesia and mechanical allodynia, and to evaluate potential analgesic compounds.","Bennett GJ, Xie YK. A peripheral mononeuropathy in rat that produces disorders of pain sensation like those seen in man. Pain. 1988;33(1):87-107.",2837713
Neuropathic Pain Models,SNI,Spared Nerve Injury,Mouse;Rat,"The Spared Nerve Injury (SNI) model involves ligating and transecting two of the three terminal branches of the sciatic nerve (the tibial and common peroneal), while leaving the sural nerve intact. This produces robust, long-lasting mechanical and cold allodynia confined to the sural territory, offering a highly reproducible model of peripheral neuropathic pain.","Decosterd I, Woolf CJ. Spared nerve injury: an animal model of persistent peripheral neuropathic pain. Pain. 2000;87(2):149-158.",10924808
Neuropathic Pain Models,SNL,Spinal Nerve Ligation,Rat;Mouse,"Spinal Nerve Ligation (SNL) selectively ligates the L5 (and sometimes L6) spinal nerves distal to the dorsal root ganglion, producing mechanical allodynia and thermal hyperalgesia restricted to the paw ipsilateral to the injury. SNL is widely used for screening analgesics because of its strong and reproducible behavioral phenotype.","Kim SH, Chung JM. An experimental model for peripheral neuropathy produced by segmental spinal nerve ligation in the rat. Pain. 1992;50(3):355-363.",1333581
Neuropathic Pain Models,DPN,Diabetic Peripheral Neuropathy,Human;Mouse;Rat,"Diabetic Peripheral Neuropathy is modeled by streptozotocin (STZ) injection, which induces β-cell destruction and hyperglycemia, leading to sensory neuropathy with mechanical and thermal hypersensitivity that recapitulates features of human diabetic painful neuropathy.",Sullivan KA et al. Mouse models of diabetic neuropathy. Neurobiol Dis. 2007;28(3):276-285.,17804252
Neuropathic Pain Models,CIPN,Chemotherapy-Induced Peripheral Neuropathy,Human;Mouse;Rat,"Chemotherapy-Induced Peripheral Neuropathy (CIPN) is induced by systemic administration of chemotherapeutics (paclitaxel, oxaliplatin, vincristine, bortezomib), producing dose-dependent sensory neuropathy. Mechanical allodynia and cold hyperalgesia are the hallmark behavioral outcomes.","Polomano RC et al. A painful peripheral neuropathy in the rat produced by the chemotherapeutic drug, paclitaxel. Pain. 2001;94(3):293-304.",11731065
Inflammatory Pain Models,CFA,Complete Freund's Adjuvant,Mouse;Rat,"Intraplantar injection of Complete Freund's Adjuvant (CFA, heat-killed Mycobacterium tuberculosis in oil emulsion) induces robust peripheral inflammation. Hindpaw edema, erythema, and mechanical/thermal hypersensitivity develop within hours and persist for several weeks, closely mimicking chronic inflammatory pain.",Stein C et al. Unilateral inflammation of the hindpaw in rats as a model of prolonged noxious stimulation. Pharmacol Biochem Behav. 1988;31(2):451-455.,3244721
Inflammatory Pain Models,Carrageenan,Carrageenan-Induced Inflammation,Mouse;Rat,"Intraplantar λ-carrageenan induces acute edema and hyperalgesia via cytokine release, complement activation and neutrophil infiltration. The hypersensitivity develops within 1–2 h, peaks at 3–4 h and resolves over 24–72 h, making it a staple acute inflammation model.",Winter CA et al. Carrageenin-induced edema in hind paw of the rat as an assay for antiinflammatory drugs. Proc Soc Exp Biol Med. 1962;111:544-547.,14001233
Inflammatory Pain Models,MSU,Monosodium Urate Crystals (Gout),Mouse;Rat,"Monosodium Urate (MSU) crystal injection into the ankle or paw models acute gouty arthritis. MSU crystals activate the NLRP3 inflammasome in resident macrophages, triggering IL-1β-driven inflammation, neutrophil influx and mechanical hypersensitivity.",Martin WJ et al. Monosodium urate monohydrate crystal-recruited non-inflammatory monocytes differentiate into M1-like pro-inflammatory macrophages. Arthritis Rheum. 2011;63(5):1322-1332.,21305523
Inflammatory Pain Models,Formalin,Formalin Test,Mouse;Rat,"Subcutaneous formalin injection produces a characteristic biphasic nociceptive response: an acute phase (0–5 min) driven by direct TRPA1 activation on nociceptors, and a tonic phase (15–60 min) driven by central sensitization. Used to assess both peripheral and central components of analgesia.","Dubuisson D, Dennis SG. The formalin test: a quantitative study of the analgesic effects of morphine, meperidine, and brain stem stimulation in rats and cats. Pain. 1977;4(2):161-174.",564014
Visceral Pain Models,IBS,Irritable Bowel Syndrome-like Visceral Hypersensitivity,Human;Mouse;Rat,"Visceral hypersensitivity modeling IBS is commonly induced by neonatal maternal separation, colonic TNBS/DSS instillation, or acetic acid irritation. Visceromotor response to colorectal distension is the gold-standard behavioral readout.",Al-Chaer ED et al. A new model of chronic visceral hypersensitivity in adult rats induced by colon irritation during postnatal development. Gastroenterology. 2000;119(5):1276-1285.,11054385
Visceral Pain Models,Endometriosis,Endometriosis-associated Pain,Human;Mouse;Rat,Autologous or syngeneic transplantation of endometrial tissue into the peritoneum produces ectopic lesions that recapitulate endometriosis-associated chronic pelvic pain. Pain is assessed through vaginal hyperalgesia and abdominal mechanical sensitivity.,Greaves E et al. A novel mouse model of endometriosis mimics human disease phenotypes. Am J Pathol. 2014;184(7):1930-1939.,24910298
Cancer Pain Models,BCP,Bone Cancer Pain,Mouse;Rat,"Bone Cancer Pain (BCP) is induced by intratibial or intrafemoral inoculation of syngeneic osteolytic tumor cells (4T1, NCTC-2472, MRMT-1). Progressive bone destruction produces sustained spontaneous pain, mechanical allodynia, and movement-evoked pain that recapitulate clinical bone-metastasis pain.",Schwei MJ et al. Neurochemical and cellular reorganization of the spinal cord in a murine model of bone cancer pain. J Neurosci. 1999;19(24):10886-10897.,10594070
Central Sensitization Models,Capsaicin,Capsaicin-Induced Central Sensitization,Human;Mouse;Rat,Intradermal or intraplantar capsaicin rapidly induces central sensitization via TRPV1 activation on primary afferents. Results in a characteristic zone of secondary mechanical hyperalgesia and allodynia around the injection site.,LaMotte RH et al. Neurogenic hyperalgesia: psychophysical studies of underlying mechanisms. J Neurophysiol. 1991;66(1):190-211.,1919666
Central Sensitization Models,NMDA,NMDA-Induced Central Sensitization,Mouse;Rat,"Intrathecal NMDA produces a rapid-onset, dose-dependent hyperalgesia and biting/licking behavior, directly activating central glutamatergic sensitization mechanisms downstream of primary afferent input.","Aanonsen LM et al. Nociceptive action of excitatory amino acids in the mouse: effects of spinally administered opioids, phencyclidine and sigma agonists. J Pharmacol Exp Ther. 1990;243(1):9-19.",2822930
Incisional Pain Models,Incisional,Plantar Incision,Mouse;Rat,"A 1-cm longitudinal incision of the plantar hindpaw skin, fascia and muscle models postoperative pain. Mechanical hypersensitivity develops within hours, peaks at 24 h and resolves over 3–5 days, closely mirroring human postoperative pain time course.",Brennan TJ et al. Characterization of a rat model of incisional pain. Pain. 1996;64(3):493-501.,8783314
Headache,NTG,Nitroglycerin-Induced Migraine,Human;Mouse;Rat,"Systemic nitroglycerin (NTG) administration induces migraine-like allodynia through nitric-oxide donation, meningeal afferent sensitization and CGRP release. The most widely used pharmacological migraine model in preclinical research.",Bates EA et al. Sumatriptan alleviates nitroglycerin-induced mechanical and thermal allodynia in mice. Cephalalgia. 2010;30(2):170-178.,19489890
Headache,CSD,Cortical Spreading Depression,Mouse;Rat,"Cortical spreading depression (CSD), a slow, propagating wave of neuronal and glial depolarization, is the electrophysiological correlate of migraine aura. Induced by focal KCl application or needle prick to cortex.",Ayata C et al. Suppression of cortical spreading depression in migraine prophylaxis. Ann Neurol. 2006;59(4):652-661.,16450381
